file,grade,name,verdict_raw,pass
4A_世界公园30景区.png,4A,世界公园30景区,FAIL 图中未显示任何彩色高亮多边形，全部为相同的占位图块，无法判断边界是否贴合世界公园30景区的实际围墙轮廓。,False
4A_世界花卉大观园景区.png,4A,世界花卉大观园景区,FAIL 图中未见任何彩色高亮多边形覆盖世界花卉大观园景区区域，也无实际围墙轮廓可对比，无法判断边界贴合情况。,False
4A_东城区龙潭公园景区.png,4A,东城区龙潭公园景区,FAIL — 图中未出现任何彩色高亮多边形，整张图仅为9个占位方块，无法判断与东城区龙潭公园景区围墙轮廓的贴合情况。,False
4A_中国人民抗日战争纪念馆景区.png,4A,中国人民抗日战争纪念馆景区,FAIL — 图中未见任何彩色高亮多边形，整体仅为占位符图像，无法判断边界是否贴合实际围墙轮廓。,False
4A_中国紫檀博物馆.png,4A,中国紫檀博物馆,FAIL 图中未显示任何彩色高亮多边形，无法判断边界是否贴合中国紫檀博物馆的实际围墙轮廓。,False
4A_中国航空博物馆旅游区.png,4A,中国航空博物馆旅游区,FAIL 图中未显示明显的彩色高亮多边形，整体为均匀的青绿色网格占位图，无法判断边界是否贴合中国航空博物馆旅游区的实际围墙轮廓。,False
4A_中央电视塔景区.png,4A,中央电视塔景区,FAIL — 图中未见任何彩色高亮多边形，仅有9个相同的占位瓦片，无法判断边界是否贴合中央电视塔景区实际围墙轮廓。,False
4A_丰台区中国园林博物馆景区.png,4A,丰台区中国园林博物馆景区,"FAIL 图中仅显示九宫格占位图（标注""点此域无卫星图""），没有实际卫星影像或彩色高亮多边形，无法核验边界是否贴合丰台区中国园林博物馆的围墙轮廓。",False
4A_乐多港假日广场景区.png,4A,乐多港假日广场景区,FAIL 图中未显示任何彩色高亮多边形或景区地图内容，仅为占位符网格，无法判断边界是否贴合实际围墙轮廓。,False
4A_仙居谷风景区.png,4A,仙居谷风景区,FAIL — 图中未见任何彩色高亮多边形，整张图仅为占位底色，无法判断边界是否贴合实际围墙轮廓。,False
4A_八大处公园.png,4A,八大处公园,FAIL 图中未见任何彩色高亮多边形，图像仅为统一的占位瓦片网格，未显示八大处公园的实际范围或围墙轮廓，无法判断边界贴合情况。,False
4A_八奇洞景区.png,4A,八奇洞景区,FAIL：图像中九宫格均为相同的绿色占位块，未见明确的高亮多边形边界，且无法辨识八奇洞景区的实际围墙轮廓。,False
4A_八达岭水关长城景区.png,4A,八达岭水关长城景区,FAIL 图中仅为占位瓦片，未显示八达岭水关长城景区的实际卫星影像，也未见任何彩色高亮多边形覆盖该景区，无法判断边界是否贴合实际围墙轮廓。,False
